"title","full_address","email","affiliations","type","established","phone"
"Arthavidya Academy","Mid-Baneshwor, Kathmandu","info@arthavidyaacademy.edu.np","ACCA","Private","N/A","9744577774"
"Gateway College of Professional Studies","Dhapasi Marga, Basundhara, Kathmandu","email@gatewaycollege.edu.np","Purbanchal University, Scottish Qualifications Authority, National Examinations Board","Private","N/A","01-4016565, 01-4016601, 01-4016564 I 9851059138"
"Kalika Multiple Campus","Kajipokhari, Pokhara, Kaski","admin@kmcpokhara.com.np","National Examinations Board, Tribhuvan University","Community","1990 AD","061-430385"
"Nepal College of Management","Dhobighat, Lalitpur","info@ncm.edu.np","Kathmandu University","Private","1999 AD","01-5188353, 01-5188364, 01-5188274"
"Namuna College of Fashion Technology","Bansbari, Kathmandu","ncft@namuna.edu.np","Purbanchal University","Private","2002 AD","9813019598, 977-1-4377897, 4374738, 4377201"
"Institute of Advanced Communication, Education, and Research (IACER)","Thapagaon Road, New Baneshwor, Kathmandu","info@iacer.edu.np","Pokhara University","Private","2001 AD","01-4567528, 01-4571915"
"DAV College","Bhanimandal, Lalitpur","mgmt@davcollege.edu.np","Tribhuvan University, Far-Western University","Private","2003","01-5429029, 01-5441154"
"Manaslu World College","Chuchepati, Kathmandu","manasluworldcollege@gmail.com","National Examinations Board, Tribhuvan University","Private","N/A","01-4584807"
"Modern Nepal College","Sorhakhutte, Naya Bazar, Kathmandu","mnc@mncollege.edu.np","Tribhuvan University","Private","N/A","01-4955304"
"Sagarmatha College of Science and Technology","Sanepa, Lalitpur","info@sagarmatha.edu.np","Tribhuvan University","Private","N/A","+977-1-5911274, +977-1-5911275, +977-1-5436765"
"Little Buddha College of Health Science","Min Bhawan, Kathmandu","info@littlebuddhacollege.edu.np","CTEVT, Purbanchal University","Private","2007 AD","01-4794458, 01-4794459"
"AADIM National College","Chabahil, Chuchchepati, Kathmandu","info@aadimcollege.edu.np","Tribhuvan University, National Examinations Board, Far-Western University","Private","N/A","01-4480609, 01-4480610"
"Kadambari Memorial College","Buddhanagar, Kathmandu","info@kadambari.edu.np","Purbanchal University","Private","2005 AD","01-4795051"
"NCA College of Management","Anup Marga, Minbhawan New Baneshwor, Kathmandu","admin@nca.edu.np","Tribhuvan University, ACCA","Private","2004 AD","01-4790241"
"Samriddhi College","Lokanthali-16, Madhyapur Thimi, Bhaktapur","info@samriddhicollege.edu.np","Tribhuvan University","Private","2013","01-6636700, 01-6636322"
"School of Management, Tribhuvan University (SOMTU)","Kirtipur, Kathmandu","info@somtu.edu.np","Tribhuvan University","Public","2012","977-1-4332719"
"Counseling Psychology and Social Studies College (CPSSC)","kalimati Tahachal, Kathmandu","cpssc2006@gmail.com","Tribhuvan University","Private","2006 AD","01-5905385, 01-4782285, 9843919935, 9849422222"
"Kantipur International College","Buddhanagar, Kathmandu","info@kantipurinternational.edu.np","Purbanchal University","Private","2000 AD","01-4790564"
"Lord Buddha Education Foundation (LBEF)","Opposite Maitidevi Temple, Kathmandu","info@lbef.org","Asia Pacific University of Technology & Innovation","Private","1998 AD","9801110200, 9801110600"
"Seed Financial Academy","Dillibazar, Kathmandu","info@seedfinancial.edu.np","​Oxford Brookes University, ACCA","Private","2018 AD","01-4510113"
"Quest International College","Gwarko, Lalitpur","info@quest.edu.np","Pokhara University","Private","2009 AD","01-5421950, 01-5547669"
"Universal College","Maitidevi, Kathmandu","info@uc.edu.np","Tribhuvan University","Private","2054 B.S.","01-4520912, 01-4542775, 01-4528321"
"Sagarmatha Engineering College","Sanepa, Lalitpur","info@sagarmatha.edu.np","Tribhuvan University","Private","2010 AD","+977-1-5911274, +977-1-5911275, +977-1-5536765"
"Kathmandu BernHardt College","Bafal Marg, Kathmandu","ktmbernhardt@kbc.edu.np","Tribhuvan University","Private","2060 BS","01-5237330, 01-5237361"
"Swastik College","Madhyapur Thimi -3, Chardobato, Madhyapur Thimi, Bhaktapur","info@swastikcollege.edu.np","Tribhuvan University","Private","2013 A.D.","01-6635174"
"Yeti International College","Buddhanagar, Baneshwor, Kathmandu","info@yeticollege.edu.np","Tribhuvan University, Sripatum University","Private","2005 AD","01-4792063, 9851314471, 9803323042"
"National College of Computer Studies (NCCS)","Paknajol, Kathmandu","info@nccs.edu.np","Tribhuvan University","Private","1999 AD","01-4251711, 01-4267961"
"MU Institute of Cooperation and Development","Nayabato, Dhobighat, Lalitpur","micd@mwu.edu.np","Mid-West University","Public","2013 A.D.","01-5544970, 9840073337, 9849466575"
"K and K International College","New Baneshwor, Kathmandu","info@kandk.edu.np","Tribhuvan University","Private","2001 A.D.","01-4474557, 01-4497515, 01-4494474"
"Model Institute of Technology (MIT)","Bagbazar, Kathmandu","N/A","International American University","Private","2023","015901393, 5901394"
"Excel Business College","Lakhechaur Marg, New Baneshwor, Kathmandu","info@excelcollege.edu.np","Pokhara University","Private","2009 AD","01- 4585109, 01-4562170"
"Greenfield National College","Bafal, Chetana Marg, Nagarjun, Kathmandu","greenfieldnational@gmail.com","Tribhuvan University, Rajarshi Janak University","Private","2007 AD","01-5237317, 01-5237352, (+977) 9851078391"
"SANN International College","Kalankisthan Rd, Naikap, Chandragiri, Kathmandu","info@sann.edu.np","Purbanchal University, Rajarshi Janak University, National Examinations Board","Private","2000 AD","01-4520509"
"Kantipur City College","Putalisadak, Kathmandu","info@kcc.edu.np","Purbanchal University","Private","2000 AD","01-4430239, 01-4437093, 01-4435735, 01-4441417, 9860352875"
"Lalitpur Engineering College","Chakupat, Patan Dhoka, Lalitpur","info@lec.edu.np","Tribhuvan University, Rajarshi Janak University","Private","2010 A.D.","01-5268215, 01-5268216"
"Shikshyalaya College","Lokanthali, Bhaktapur","info@shikshyalayacollege.edu.np","Far-Western University","Private","2024 A.D.","01-6636400, 01-6636100"
"Kathmandu Model College","Bagbazar, Kathmandu","info@kmcen.edu.np","Tribhuvan University","Private","2003 AD","01-4258983, 01-4258915, 01-4242015"
"Bright Academy","Chakkubakku Marga, New Baneshwor, Kathmandu","brightacademynepal@gmail.com","ACCA","Private","2023 AD","014573060, 9802349069"
"Ritz College of Engineering and Management","Balkumari, Lalitpur","ritzcollege2074@gmail.com","Pokhara University","Private","2009","01-5186188, 01-5186183"
"Bluebird Secondary School and College","Kumaripati, Lalitpur","bluebirdkumaripati@gmail.com","National Examinations Board, Tribhuvan University","Private","N/A","01-5455142, 5408799, 5401222"
"Lumbini Banijya Campus","Devinagar, Butwal, Rupandehi","info@lbc.edu.np","Tribhuvan University","Community","2038 BS","071-410500"
"Presidency College of Management Sciences","Bharatpur, Chitwan","info@pcms.edu.np","National Examinations Board, Purbanchal University","Private","2056 BS","056-524278"
"Pascal National College","Satdobato, Lalitpur","info@pascalcollege.edu.np","Tribhuvan University","Private","N/A","01-5916910"
"Asian College of Management and Technology","Min Bhawan, New Baneshwor, Kathmandu","info@acmt.edu.np","Purbanchal University","Private","2008 A.D.","01-4790099, 01-4790284"
"ISMT College","Gairigaun, Tinkune, Kathmandu","admission@ismt.edu.np","University of Sunderland","Private","2011","01-4112122, 4112159"
"ISMT College, Butwal","Tilottama-2, Yogikuti, Butwal, Butwal, Rupandehi","butwal@ismt.edu.np","University of Sunderland","Private","N/A","071-437238"
"KCM","Gwarko, Lalitpur","admission@kcm.edu.np","Siam University, Thailand","Private","1997 AD","015201997, 9709195970"
"FinT Learning Hub","New Baneshwor, Kathmandu","info@fint.edu.np","ACCA","Private","2025 AD","9709103849, 9705435201"
"Global College of Social Science and Technology","Old Baneshwor, Kathmandu","info@gcst.edu.np","Purbanchal University","Private","2006 AD","01-5970320"
"Reliance International College","Saraswatinagar, Chahabil, Kathmandu","info@ricollege.edu.np","Rajarshi Janak University","Private","2025 AD","01-4822336"
"National Open College","Sanepa, Ring Road (Near Star Hospital), Lalitpur","noc@noc.edu.np","Pokhara University","Private","2000 AD","01-5183226, 01-5183298"
"Orchid College of Management & Technology","Bijay Chowk, Gaushala, Kathmandu","pu@oic.edu.np","Purbanchal University","Private","N/A","1-4579745"
"Orchid International College","Gaushala, Bijaya Chowk, Kathmandu","info@oic.edu.np","Tribhuvan University","Private","2010 AD","01-4479744, 9851134753"
"BAM | Siddhartha Vanasthali Institute (SVI)","Banepa, Kavrepalanchok","siddharthavanasthalipanauti@gmail.com","Kathmandu University","Private","2024","9709160075, 9709160074"
"Himalaya College of Engineering","Chyasal-9, Lalitpur","N/A","Tribhuvan University","Private","2000 AD","N/A"
"Pokhara University, School of Health and Allied Sciences","Dhungepatan, Pokhara, Kaski","N/A","Pokhara University","Public","1997 AD","061-561698, 061-561697"
"Kathmandu University School of Arts","Hattiban, Lalitpur","N/A","Kathmandu University","Public","1996 AD","01-5251294, 01-5251306"
"Kathmandu University Dhulikhel Campus","Dhulikhel, Kavrepalanchok","N/A","Kathmandu University","Public","N/A","N/A"
"School of Business | Pokhara University","Dhungepatan, Pokhara, Kaski","N/A","Pokhara University","Public","1999 AD","061-504147, 061-504035"
"School of Engineering | Pokhara University","Pokhara, Kaski","N/A","Pokhara University","Public","N/A","061-561698, 061-561697"
"School of Management | Purbanchal University","Biratnagar, Morang","N/A","Purbanchal University","Public","N/A","021-534027"
"School of Management | Kathmandu University","Balkumari, Lalitpur","N/A","Kathmandu University","Public","1993","977-1- 5548891"
"School of Development and Social Engineering | Pokhara University","Dhungepatan, Khudi, Pokhara, Kaski","N/A","Pokhara University","Public","N/A","061-561699, 061-561696"
"Kathmandu University Technical Training Center","Dhulikhel, Kavrepalanchok","N/A","N/A","Public","N/A","977-11-661399"
"Purbanchal University College of Law","Puspalalchowk, Biratnagar, Morang","N/A","Purbanchal University","Public","N/A","N/A"
"School of Medicine | Karnali Academy of Health Sciences","Chandannath, Jumla","N/A","Karnali Academy of Health Sciences","Public","N/A","087-520115, 087- 520355"
"School of Science and Technology | Purbanchal University","Biratnagar, Morang","N/A","Purbanchal University","Public","1994","N/A"
"Purbanchal University School of Health Sciences","Gothgaun, Sundarharaicha, Morang","N/A","Purbanchal University","Public","N/A","021-425007"
"College of Environment and Forestry | Purbanchal University","Gothgaun, Sundarharaicha, Morang","N/A","Purbanchal University","Public","2018 A.D.","9852084222"
"Purbanchal University School of Medical Sciences","Biratnagar, Morang","N/A","Purbanchal University","Public","2025 AD","N/A"
"Rapti Shiksha Campus","Aanandapur, Ghorahi, Dang","N/A","Tribhuvan University","Public","N/A","082-562304, 9847837497"
"Chandra Shatrughan Campus","Bodebarsain, Saptari","N/A","Tribhuvan University","Public","N/A","N/A"
"​Angels' Heart International College","Manamaiju, Tarakeshwor, Kathmandu","N/A","Tribhuvan University","Private","N/A","N/A"
"Banepa College of Management and Technology","Banepa, Kavrepalanchok","N/A","Rajarshi Janak University","Private","2024 AD","N/A"
"Nepal Western Academy","Santoshi Tole, Dhangadhi, Kailali","N/A","Pokhara University","Private","2009 A.D","N/A"
"SV Academy College","Buddhanagar, Kathmandu","N/A","National Examinations Board, Tribhuvan University","Private","N/A","N/A"
"Haraiya Multiple Campus","Rudrapur, Kanchan, Rupandehi","N/A","Tribhuvan University","Community","1959 AD","N/A"
"Sharadodaya Multiple Campus","Thosebazar, Gokulganga, Ramechhap","N/A","Tribhuvan University","Community","N/A","N/A"
"BP Koirala Memorial Cancer Hospital Nursing College","Bharatpur, Chitwan","N/A","Pokhara University","Public","1992 AD","N/A"
"Valley State College","Basanta Chowk, Bharatpur, Chitwan","N/A","Pokhara University","Private","2012","N/A"
"Manipal College of Medical Sciences","Pokhara, Kaski","N/A","Kathmandu University","Private","1994 AD","N/A"
"Sunapati Sahid Multiple Campus","Bethan, Sunapati, Ramechhap","N/A","Tribhuvan University","Private","N/A","N/A"
"Janapremi College","Kaushaltar, Madhyapur Thimi, Bhaktapur","N/A","Tribhuvan University","Private","2007 A.D","N/A"
"Birgunj Nursing Campus","Birgunj, Parsa","N/A","Tribhuvan University","Public","2032 BS","051-522580, 051-530961"
"Syangja Multiple Campus","syangja Bazar, Putalibazar, Syangja","N/A","National Examinations Board, Tribhuvan University","Public","2000 AD","063-420014, 063-420554"
"Himchuli College","Kumaripati, Lalitpur","N/A","Tribhuvan University","Private","N/A","N/A"
"Purkot Kalika Campus","Bhanu, Tanahun","N/A","Tribhuvan University","Community","N/A","N/A"
"Sinha Health Foundation","Bhamarpura Chowk, Janakpurdham, Dhanusha","N/A","Purbanchal University","Private","N/A","N/A"
"Bhawani Multiple Campus","Palungtar, Gorkha","N/A","Tribhuvan University","Community","N/A","N/A"
"Kuleshwor Awas Campus","Kuleshwor Height, Kathmandu","N/A","Purbanchal University","Private","2079 BS","N/A"
"Shahid Smarak College","Kirtipur, Kathmandu","N/A","National Examinations Board, Tribhuvan University","Community","1990 A.D.","01-333937, 01-4330279"
"Bajra International College","Arab Bank, Bouddha-Jorpati Road, Gokarneshwar, Kathmandu","N/A","Tribhuvan University","Private","2064 BS","N/A"
"Bansgadhi Multiple Campus","Motipur, Bansgadhi, Bardiya","N/A","Tribhuvan University","Community","N/A","N/A"
"​Jitpurphedi Multiple Campus","Jitpurphedi, Tarakeshwor, Kathmandu","N/A","Tribhuvan University","Community","N/A","N/A"
"Asian College for Advance Studies","Satdobato, Lalitpur","N/A","CTEVT, Purbanchal University","Private","2005 A.D.","N/A"
"Budhanilkantha Campus","Narayansthan, Budhanilakantha, Kathmandu","N/A","Tribhuvan University","Community","N/A","01 4370296, 01 4379576"
"Prayageshwar Multiple Campus","Pakarbas, Khandadevi, Ramechhap","N/A","Tribhuvan University","Public","2064 BS","048-690091"
"Basanta Multiple Campus","Basantpur, Laligurans, Tehrathum","N/A","Tribhuvan University","Community","2067 BS","N/A"
"Janak Multiple Campus","Methinkot-8, Namobuddha, Kavrepalanchok","N/A","Tribhuvan University","Community","N/A","N/A"
"Mahankal Campus","Gotikhel, Mahankal, Lalitpur","N/A","Tribhuvan University","Community","N/A","977-1-6226858"
"Laxmi Samudaik Multiple Campus","Kachanapur, Rapti Sonari, Banke","N/A","Tribhuvan University","Community","N/A","9758001388"
"College of Natural Resource Management (CNRM), Bardibas","Bardibas, Mahottari","N/A","Agriculture and Forestry University","Public","N/A","N/A"
"​Jana Chetana Multiple Campus","Sanni Triveni, Kalikot","N/A","Tribhuvan University","Community","N/A","N/A"
"Dhankuta Multiple Campus","Dhankuta","N/A","Tribhuvan University","Public","N/A","026-520298"
"Mahaveer Janata Multiple Campus","Haripur, Sarlahi","N/A","Tribhuvan University","Public","N/A","N/A"
"Sciences School of Pharmacy | Karnali Academy of Health Sciences","Chandannath, Jumla","N/A","Karnali Academy of Health Sciences","Public","N/A","N/A"
"Mahakali Multiple Campus","Shreepur, Belauri, Kanchanpur","N/A","Tribhuvan University","Community","N/A","099-580197"
"Jay Kishan Multiple Campus","Dewahi Gonahi, Rautahat","N/A","Tribhuvan University","Community","N/A","N/A"
"Jhapa Campus","Damak, Jhapa","N/A","Tribhuvan University","Private","N/A","N/A"
"Godawari College","Itahari, Sunsari","N/A","Tribhuvan University, CTEVT, National Examinations Board, Kathmandu University","Private","2049 B.S","N/A"
"Gaumukhi Multiple Campus","Machchhi, Okharkot, Jhimruk, Pyuthan","N/A","Tribhuvan University","Community","N/A","086-690040"
"Akshyawor Boudhakala Mahavidyalaya","Kathmandu","N/A","Lumbini Buddhist University","N/A","N/A","N/A"
"Diamond College","Narayan Gopal Chowk, Kathmandu","N/A","Tribhuvan University","Private","N/A","N/A"
"Glorious College","Kalikanagar, Butwal, Rupandehi","N/A","National Examinations Board, Tribhuvan University","Private","2056 BS","N/A"
"Namuna Machhindra Campus","Lagankhel, Lalitpur","N/A","Tribhuvan University","Community","N/A","01-500414, 01-5004064"
"Prajjwal Collegiate Academy","Gauradaha, Gauradaha, Jhapa","N/A","Tribhuvan University","N/A","N/A","023-480095, 9842631787"
"Edenburgh College","Biratnagar, Morang","N/A","Tribhuvan University, Purbanchal University","Private","N/A","N/A"
"Mangala Campus","Suryapal, Sotipasal, Madhyanepal, Lamjung","N/A","Tribhuvan University","Community","N/A","N/A"
"Pokhara College of Management","Gyanmarg, Nadipur, Pokhara, Kaski","N/A","Pokhara University","Private","2002 AD","N/A"
"Gandhi Tulsi Campus","Kadhaghari, Kageshwari Manohara, Kathmandu","N/A","Tribhuvan University","Community","N/A","01-4990205"
"​Shankarpur Campus","Malikarjun, Darchula","N/A","Tribhuvan University","Community","N/A","N/A"
"Kailashkut Multiple Campus","Mitrapark, Kathmandu","N/A","National Examinations Board, Tribhuvan University","Community","N/A","01-4465707"
"Nawa Adarsha Multiple Campus","Deurali-1, Ribdikot, Palpa","N/A","Tribhuvan University","Public","N/A","075-690465"
"Herald College Kathmandu","Bhagwati Marga, Naxal, Kathmandu","N/A","University of Wolverhampton","Private","N/A","N/A"
"Rapti Vidhyamandir Management College","Tulsipur, Dang","N/A","Tribhuvan University","Private","N/A","N/A"
"Paanchpokhari Multiple Campus","Sipapokhara, Indrawati, Sindhupalchok","N/A","Tribhuvan University","Community","N/A","N/A"
"Sunway College","Maitidevi, Kathmandu","N/A","Birmingham City University","Private","2010 AD","N/A"
"Caribbean College","Kumaripati, Lalitpur","N/A","Tribhuvan University","Private","N/A","N/A"
"Yerawati Aadarsha Multiple Campus","Lalmatiya, Rapti, Dang","N/A","Tribhuvan University","Community","2009 AD","82-695151, 82-580274"
"National College of Integrated Studies","Itahari, Sunsari","N/A","Rajarshi Janak University","Private","2024 AD","N/A"
"Mamta Vidya Mandir","Brahma Chowk Murli 12, Birgunj, Parsa","N/A","Rajarshi Janak University","N/A","N/A","051-526614"
"Kishan Multiple Campus","Mathagadhi, Palpa","N/A","Tribhuvan University","Community","N/A","N/A"
"Shree Narad Adarsh Education Campus","Basaha, Chaudandigadhi, Udayapur","N/A","Tribhuvan University","Public","N/A","N/A"
"Kalinag Multiple Campus","Sunkhani, Kalinchowk, Dolakha","N/A","Tribhuvan University","Community","N/A","N/A"
"Janakpur Campus","Janakpur, Janakpurdham, Dhanusha","N/A","National Examinations Board, Tribhuvan University","Community","N/A","041-522417"
"Sagarmatha College","Mahananda Marga, Dharan, Itahari, Sunsari","N/A","Tribhuvan University","Public","N/A","N/A"
"Shine International College","Naya Baneshwor, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Panchakanya Multiple Campus","Arjunchaupari, Syangja","N/A","Tribhuvan University","Community","2067 BS","N/A"
"Kaustuv College","Purano Sinamangal, Pepsicola, Kageshwari Manohara, Kathmandu","N/A","Tribhuvan University","N/A","2070 BS","01-4991276, 01-4991349"
"Gramin Aadarsha Multiple Campus","Nepal Tar, Tarakeshwor, Kathmandu","N/A","National Examinations Board, Tribhuvan University","Community","N/A","01-4354124, 01-4381704"
"Itahari Namuna College","Itahari, Sunsari","N/A","Tribhuvan University","Private","N/A","N/A"
"B and B Hospital","Lalitpur","N/A","National Board of Medical Specialties","Private","N/A","N/A"
"Mount Valley College","Bhimkalipatan, Bagar, Pokhara, Kaski","N/A","Tribhuvan University","Private","N/A","N/A"
"Bhasha Campus, Dhankuta","Kagate, Dhankuta","N/A","Tribhuvan University","Community","2064 BS","026-520583"
"Rauleshwar Janta Aadarsh Multiple Campus","Beldandi, Kanchanpur","N/A","Tribhuvan University","Community","N/A","9759502223"
"Kedar Jyoti Punja Multiple Campus","BP Nagal, Badikedar, Doti","N/A","Tribhuvan University","Community","N/A","N/A"
"Siddhapaila Campus","Birendranagar, Surkhet","N/A","Tribhuvan University, Far-Western University","Private","2070 B.S.","N/A"
"Huwas Multiple Campus","Paiyun, Parbat","N/A","Tribhuvan University","Community","N/A","067-411044"
"Bajrabarahi Campus","Chapagaun, Godawari, Lalitpur","N/A","Tribhuvan University","N/A","2013","01-5570088, 01-5574323"
"Yagyodaya Dudhnath Tharu Multiple Campus","Ramwapur, Suddodhan-3, Ramapur, Shuddhodhan, Rupandehi","N/A","Tribhuvan University","N/A","N/A","N/A"
"Shubha Janta Multiple Campus","Barahathawa, Sarlahi","N/A","Tribhuvan University","Community","2064 BS","9844035285"
"Shree Narayan Campus","Ishworpur, Sarlahi","N/A","Tribhuvan University","Public","N/A","9724652201"
"Jwala Prasad Syo Wai Devi Murarka Campus","Lahan, Siraha","N/A","Tribhuvan University","Public","N/A","033-560252"
"Lumbini Academic College","Chuchchepati, Chabhil, Kathmandu","N/A","Tribhuvan University","Private","N/A","N/A"
"Shadananda Multiple Campus","Dingla, Shadananda, Bhojpur","N/A","Tribhuvan University","Community","2067 BS","N/A"
"Amar Jyoti Multiple Campus","Kharanitar, Tadi, Nuwakot","N/A","Tribhuvan University","Community","N/A","N/A"
"GS College","Kalimati, Kathmandu","N/A","National Examinations Board, Tribhuvan University","Private","N/A","N/A"
"Providence College of Management","Charpane, Birtamod, Jhapa","N/A","Tribhuvan University","Private","N/A","N/A"
"Sun Shine College","Bhairahawa, Siddharthanagar, Rupandehi","N/A","Tribhuvan University","Public","N/A","N/A"
"​Bagmati Community Campus","Shantinagar, Kathmandu","N/A","Tribhuvan University","Community","N/A","N/A"
"Kali Gandaki Campus","Birgha, Syangja","N/A","Tribhuvan University","Community","N/A","063-420831"
